hhid,region,urban,hh_size,hh_weight
1,1,1,3,2.643831377850672
2,2,1,7,3.775770311986538
3,3,0,2,3.867941187035166
4,4,0,7,2.418037236455662
5,1,1,6,2.05001088525258
6,2,1,4,3.945475439929478
7,3,1,1,1.258015751633315
8,4,1,6,1.009809899066778
9,1,0,1,2.510143170572193
10,2,1,5,1.291073981466812
11,3,0,8,2.919514550075088
12,4,1,2,1.161885037024017
13,1,1,8,3.77962300945831
14,2,0,7,2.841962392356895
15,3,0,6,3.248438950765669
16,4,0,8,3.544131708936427
17,1,1,2,1.186710330943551
18,2,1,4,1.274669975535994
19,3,1,3,3.315017126309383
20,4,0,7,3.57845124168446
21,1,0,8,2.032906748507435
22,2,1,5,2.697626080599227
23,3,0,6,2.943034735769887
24,4,1,7,1.367380831816905
25,1,1,6,3.79426423367053
26,2,1,5,2.093601749227295
27,3,1,5,1.540784262402666
28,4,0,2,3.96179144000027
29,1,1,7,3.099408186329892
30,2,0,2,3.193674076940419
31,3,1,5,2.784047768678382
32,4,1,4,3.828783103843567
33,1,1,6,3.174831690992349
34,2,1,2,3.225669635504329
35,3,1,7,2.437950382174064
36,4,1,8,2.189967049291801
37,1,1,5,1.837024603876872
38,2,1,7,1.185358499923934
39,3,0,7,1.41077140635053
40,4,0,1,1.772188124041223
41,1,1,6,2.654686247865907
42,2,1,2,1.457993587635984
43,3,0,8,2.629779316992174
44,4,1,1,3.180850217637811
45,1,1,7,2.371800766416764
46,2,0,7,2.165559227593779
47,3,1,5,2.317880548178449
48,4,1,5,2.104672993559397
49,1,1,8,2.988223188719553
50,2,0,7,1.367540684933175
51,3,1,8,3.127281258934927
52,4,0,4,1.378351256223646
53,1,1,3,2.992003045963182
54,2,1,2,3.518677193442326
55,3,0,1,1.263189505949813
56,4,1,1,3.872430915958773
57,1,1,2,1.085561871269331
58,2,1,4,1.199907375147259
59,3,1,4,1.215492791153298
60,4,0,8,1.653573595346714
61,1,0,4,3.611798747002606
62,2,0,3,2.995681089172614
63,3,0,6,2.242317654423695
64,4,1,5,3.438785928330934
65,1,1,2,2.152537053490963
66,2,1,2,1.541894741421249
67,3,1,1,2.30101977809134
68,4,1,4,2.9390888662272
69,1,1,5,1.1196495801725
70,2,0,7,2.179495112910625
71,3,1,7,3.125507339198267
72,4,1,3,2.599137890402245
73,1,1,1,1.093204999197821
74,2,0,2,2.283398602006631
75,3,1,5,1.630029685154219
76,4,0,8,1.53958161559038
77,1,0,7,1.115785314319156
78,2,0,8,1.136839466236605
79,3,0,7,2.173763476155368
80,4,1,5,1.147721705308687
81,1,0,1,3.768353270054026
82,2,0,1,2.864381102102327
83,3,0,5,1.999648881626362
84,4,0,4,3.71575557074496
85,1,1,4,2.493214674543597
86,2,1,1,3.459858041833819
87,3,0,6,1.700132531800335
88,4,0,4,3.09481569325916
89,1,0,5,2.861218322972759
90,2,1,8,3.417484182156691
91,3,0,6,1.280262937628264
92,4,1,7,3.574418075556045
93,1,1,1,3.958181104340082
94,2,1,7,3.545527350761386
95,3,0,2,2.833989419435987
96,4,0,1,3.365682440064627
97,1,1,5,3.949780117016322
98,2,1,4,3.49397833709534
99,3,0,2,3.802355385293916
100,4,1,5,3.946562418138408
