hhid,pid,age,sex,relation,educ_years
1,1,16,2,1,4
2,1,63,1,4,3
3,1,0,2,2,5
4,1,23,2,1,1
5,1,38,2,4,6
6,1,14,2,2,12
7,1,22,2,5,8
8,1,20,1,4,17
9,1,26,1,2,12
10,1,24,2,2,8
11,1,11,2,4,10
12,1,21,2,2,6
13,1,58,1,5,11
14,1,42,2,5,13
15,1,26,1,2,8
16,1,13,2,5,17
17,1,31,1,4,8
18,1,26,2,1,14
19,1,38,2,2,7
20,1,19,2,4,6
21,1,54,1,4,12
22,1,40,2,5,8
23,1,16,1,5,3
24,1,36,2,4,10
25,1,33,1,2,11
26,1,0,2,1,9
27,1,37,2,1,14
28,1,31,1,3,10
29,1,22,2,3,3
30,1,51,2,1,9
31,1,47,2,1,3
32,1,10,1,2,6
33,1,42,1,2,8
34,1,35,2,5,12
35,1,50,1,3,6
36,1,2,1,4,11
37,1,50,1,1,7
38,1,4,1,4,14
39,1,21,1,2,2
40,1,21,2,5,6
41,1,16,2,1,3
42,1,22,1,4,0
43,1,14,2,3,0
44,1,25,2,4,12
45,1,18,1,3,3
46,1,18,1,5,3
47,1,41,1,4,4
48,1,20,1,2,10
49,1,9,1,1,9
50,1,28,2,3,2
51,1,20,1,4,14
52,1,52,2,2,11
53,1,63,1,2,3
54,1,35,1,2,6
55,1,8,1,2,16
56,1,28,2,5,9
57,1,37,1,1,5
58,1,28,2,1,6
59,1,6,2,4,6
60,1,25,2,4,6
61,1,40,2,4,5
62,1,67,1,4,4
63,1,14,2,1,9
64,1,8,2,1,7
65,1,8,2,1,10
66,1,28,1,4,0
67,1,28,1,5,11
68,1,14,1,2,13
69,1,36,1,3,8
70,1,35,2,4,10
71,1,25,1,1,12
72,1,15,1,4,6
73,1,2,2,2,9
74,1,48,1,2,9
75,1,23,2,5,7
76,1,51,1,1,8
77,1,41,1,2,5
78,1,44,1,1,8
79,1,26,1,5,4
80,1,23,1,3,9
81,1,7,2,3,14
82,1,30,1,1,6
83,1,40,1,3,3
84,1,31,1,4,6
85,1,0,1,4,12
86,1,23,2,5,4
87,1,7,1,3,5
88,1,32,1,5,7
89,1,5,2,5,5
90,1,30,2,5,6
91,1,18,1,1,7
92,1,64,1,4,7
93,1,34,1,4,0
94,1,17,2,2,0
95,1,18,2,1,8
96,1,49,2,2,0
97,1,18,2,2,8
98,1,32,1,4,5
99,1,27,2,4,7
100,1,60,2,2,15
1,2,16,1,4,9
2,2,14,2,2,6
3,2,23,1,5,7
4,2,58,1,4,5
5,2,1,1,2,2
6,2,33,2,2,4
7,2,22,1,5,13
8,2,42,2,1,9
9,2,0,2,3,9
10,2,18,1,5,13
11,2,10,1,5,4
12,2,26,1,5,8
13,2,41,1,2,16
14,2,36,2,4,8
15,2,31,2,3,10
16,2,67,1,1,12
17,2,40,2,1,5
18,2,52,1,3,9
19,2,36,2,3,5
20,2,47,2,5,9
21,2,25,2,5,14
22,2,36,1,2,8
23,2,54,2,3,8
24,2,32,1,2,7
25,2,21,1,5,11
26,2,26,2,3,0
27,2,32,2,1,8
28,2,9,1,3,8
29,2,17,1,2,5
30,2,31,1,2,4
31,2,13,1,2,4
32,2,27,1,4,4
33,2,56,1,3,12
34,2,30,1,1,9
35,2,43,1,5,9
36,2,32,2,1,12
37,2,19,1,2,7
38,2,52,1,2,8
39,2,7,1,5,0
40,2,18,2,3,6
41,2,37,2,3,11
42,2,29,1,5,8
43,2,19,1,5,3
44,2,48,1,1,20
45,2,4,2,1,7
46,2,40,2,2,12
47,2,31,2,1,8
48,2,0,2,5,7
49,2,34,1,3,3
50,2,14,1,1,12
51,2,12,1,1,7
52,2,14,1,2,13
53,2,38,2,5,3
54,2,10,2,5,0
55,2,20,2,5,11
56,2,54,2,1,11
57,2,20,2,5,8
58,2,20,1,3,5
59,2,32,2,1,7
60,2,68,1,5,11
61,2,36,2,5,6
62,2,39,1,1,6
63,2,44,2,3,2
64,2,27,2,1,1
65,2,18,2,4,2
66,2,51,1,4,1
67,2,38,2,1,3
68,2,54,1,5,6
69,2,0,1,3,8
70,2,38,1,3,9
71,2,48,1,5,2
72,2,33,2,5,7
73,2,27,1,3,4
74,2,38,1,2,9
75,2,38,2,2,10
76,2,0,1,5,8
77,2,33,2,4,0
78,2,53,1,5,12
79,2,37,2,3,14
80,2,40,1,5,5
81,2,0,1,5,7
82,2,14,2,4,16
83,2,40,2,2,11
84,2,55,1,1,15
85,2,31,1,3,6
86,2,40,2,1,9
87,2,68,1,2,4
88,2,26,2,5,11
89,2,30,2,5,6
90,2,21,1,3,5
91,2,23,2,4,0
92,2,44,1,4,15
93,2,40,2,5,5
94,2,27,1,3,8
95,2,18,2,2,12
96,2,14,1,5,9
97,2,27,2,4,7
98,2,8,2,2,13
99,2,59,1,3,5
100,2,67,1,5,8
1,3,53,2,4,12
2,3,38,1,1,7
3,3,31,1,4,1
4,3,6,1,4,11
5,3,17,2,5,2
6,3,52,2,1,7
7,3,4,2,5,11
8,3,65,2,2,16
9,3,42,2,1,10
10,3,5,1,2,6
11,3,27,2,4,0
12,3,28,2,4,6
13,3,20,1,3,14
14,3,42,2,2,8
15,3,11,2,2,12
16,3,5,2,5,12
17,3,1,2,4,13
18,3,37,1,3,5
19,3,23,2,4,0
20,3,41,2,5,6
21,3,49,2,4,10
22,3,26,2,2,0
23,3,23,1,2,5
24,3,18,1,4,7
25,3,40,2,4,9
26,3,23,2,1,8
