hhid,pid,age,sex,relation,educ_years
1,1,44,1,2,4
2,1,17,2,3,5
3,1,49,1,3,11
4,1,36,2,1,10
5,1,20,2,3,5
6,1,11,1,2,12
7,1,16,1,2,5
8,1,52,1,2,8
9,1,5,2,3,10
10,1,37,1,4,11
11,1,49,2,3,8
12,1,33,1,2,9
13,1,48,2,4,11
14,1,60,2,5,12
15,1,9,2,5,12
16,1,7,1,2,9
17,1,61,2,4,12
18,1,58,1,1,7
19,1,1,2,3,9
20,1,29,1,5,11
21,1,44,2,4,12
22,1,21,2,3,8
23,1,47,2,1,3
24,1,30,2,3,2
25,1,40,2,5,5
26,1,33,1,1,2
27,1,27,2,1,0
28,1,6,1,4,1
29,1,19,1,3,1
30,1,37,2,3,13
31,1,30,1,3,5
32,1,50,2,1,10
33,1,28,2,4,4
34,1,48,2,1,10
35,1,13,2,4,12
36,1,32,1,4,2
37,1,14,2,2,9
38,1,16,1,4,6
39,1,7,1,1,4
40,1,35,2,4,10
41,1,0,1,2,16
42,1,36,2,1,12
43,1,5,1,1,5
44,1,57,1,5,15
45,1,23,2,3,7
46,1,33,1,3,3
47,1,39,1,3,8
48,1,14,1,1,0
49,1,31,1,4,4
50,1,16,1,3,1
51,1,5,2,3,11
52,1,8,1,5,9
53,1,25,2,5,11
54,1,19,1,4,6
55,1,14,1,5,9
56,1,37,2,3,0
57,1,7,2,4,11
58,1,37,1,1,6
59,1,27,1,1,18
60,1,37,1,5,6
61,1,29,2,5,11
62,1,22,2,3,0
63,1,71,1,2,5
64,1,36,1,3,12
65,1,28,2,4,12
66,1,40,1,4,16
67,1,31,1,1,8
68,1,18,2,1,8
69,1,43,2,1,7
70,1,35,1,4,6
71,1,0,1,1,8
72,1,8,2,1,10
73,1,45,1,5,8
74,1,41,1,1,7
75,1,41,2,3,8
76,1,31,1,2,11
77,1,16,2,3,4
78,1,24,1,4,4
79,1,36,1,5,8
80,1,36,2,4,10
81,1,10,2,2,4
82,1,76,1,4,4
83,1,3,1,5,8
84,1,12,1,1,0
85,1,30,1,4,8
