hhid,region,urban,hh_size,hh_weight
1,1,0,4,1.743510582771925
2,2,0,5,2.129590423960032
3,3,1,7,1.765220740732578
4,4,1,6,1.783129621815086
5,1,1,7,2.413780984442949
6,2,0,6,3.797720683033918
7,3,0,4,1.586775865939755
8,4,1,6,3.999961845798032
9,1,1,2,2.159610355908567
10,2,1,4,3.905495802771989
11,3,1,7,1.461453614726876
12,4,1,7,2.425459084977581
13,1,1,3,1.883151359223107
14,2,1,5,3.612613079914806
15,3,1,6,1.23205356777187
16,4,1,6,2.557816446484673
17,1,1,3,2.84486499133207
18,2,0,6,2.742893060236675
19,3,0,3,3.427715609275898
20,4,1,2,3.586216673445966
21,1,1,1,3.467251538482603
22,2,1,5,1.692656679544709
23,3,0,7,2.406037006782035
24,4,1,8,1.843638449279549
25,1,0,7,2.928283050298635
26,2,1,4,1.345406505857514
27,3,1,3,2.772118948742937
28,4,0,4,1.524971966653003
29,1,1,6,1.178542706053495
30,2,0,4,1.972259190990914
31,3,1,5,2.758005117573979
32,4,1,8,2.019667128010331
33,1,1,5,2.822922032989769
34,2,0,4,1.722005021577931
35,3,1,5,1.707430765421305
36,4,1,8,3.053647955398477
37,1,1,4,3.299601800401936
38,2,1,3,2.206564663228384
39,3,1,2,1.980015195037297
40,4,0,6,3.356298990168664
41,1,1,4,1.790786175554265
42,2,1,7,1.426912832450763
43,3,1,1,1.377257238252766
44,4,1,7,2.743641270532487
45,1,1,1,1.961545020112725
46,2,1,8,3.382295693931888
47,3,0,3,1.590743160285665
48,4,1,5,3.663414457833156
49,1,1,8,2.373418656547371
50,2,0,2,3.559160778032191
51,3,1,5,2.337751737238909
52,4,0,6,2.225917049899266
53,1,1,2,1.367597967679687
54,2,0,5,3.600364970894274
55,3,1,7,3.006298833019944
56,4,0,6,1.521848056509741
57,1,1,7,1.047333179024097
58,2,0,2,1.85116876923557
59,3,0,2,3.521848801996813
60,4,0,2,2.313275879854397
61,1,0,6,3.74532625331962
62,2,0,2,3.953103586209484
63,3,1,4,3.975662002390713
64,4,1,4,3.601289846269398
65,1,0,3,1.972215095164412
66,2,1,1,2.3015028556797
67,3,1,5,2.566392478643818
68,4,1,2,1.644182231041457
69,1,1,3,1.598804429345191
70,2,1,3,3.74591023474853
71,3,1,4,2.601200818623803
72,4,0,3,3.12371093176965
73,1,1,2,3.083472967107285
74,2,1,3,2.017956010014632
75,3,1,6,2.7142628802178
76,4,0,6,1.658306542648796
77,1,1,7,2.465235216674332
78,2,1,5,1.911217529560146
79,3,1,8,2.424567288317861
80,4,0,8,3.864147690730259
81,1,0,3,1.397154262965073
82,2,1,2,1.948995532970555
83,3,1,4,2.764874021745074
84,4,1,5,1.584693515565939
85,1,1,2,1.847433719881401
86,2,1,4,1.628937006061906
87,3,1,5,3.98046230986496
88,4,0,1,2.535442678923977
89,1,0,7,1.957001378609646
90,2,0,1,1.847288415074054
91,3,0,2,1.858347825181352
92,4,0,8,3.980807016897516
93,1,1,7,3.637397997833133
94,2,1,1,2.453656081994284
95,3,1,7,2.008164348934693
96,4,1,6,3.426816982350379
97,1,0,5,3.719422448112581
98,2,0,8,2.836610635624836
99,3,0,5,1.12525927048849
100,4,1,6,3.955568882292285
101,1,1,7,1.394532870464233
102,2,1,3,1.053288362397554
103,3,1,2,1.129040292836019
104,4,0,2,3.004957881397249
105,1,0,6,3.278058426847511
106,2,1,4,2.727989750185806
107,3,0,8,2.934152912535911
108,4,1,5,1.723840915050885
109,1,0,1,3.227040303968643
110,2,1,8,2.92875249135746
111,3,1,5,1.314595516781807
112,4,1,7,2.121149787387828
113,1,1,4,2.115122069393912
114,2,1,1,1.501044302154471
115,3,1,8,3.08853371607599
116,4,1,3,2.227867968272709
117,1,0,2,3.328459282510418
118,2,0,2,2.678822403679517
119,3,0,1,3.751631480281772
120,4,1,6,2.300986211416118
