schid,clsid,grade
1,1,8
2,1,4
3,1,4
4,1,8
5,1,4
6,1,8
7,1,4
8,1,8
9,1,4
10,1,8
11,1,4
12,1,4
13,1,8
14,1,8
15,1,8
16,1,8
17,1,4
18,1,4
19,1,8
20,1,8
21,1,4
22,1,4
23,1,8
24,1,8
25,1,4
26,1,4
27,1,8
28,1,4
29,1,4
30,1,4
31,1,4
32,1,8
33,1,8
34,1,8
35,1,4
36,1,8
37,1,8
38,1,4
39,1,8
40,1,4
1,2,8
2,2,8
3,2,4
4,2,4
5,2,4
6,2,4
7,2,4
8,2,4
9,2,8
10,2,4
11,2,8
12,2,4
13,2,8
14,2,8
15,2,8
16,2,4
17,2,4
18,2,4
19,2,8
20,2,4
21,2,8
22,2,4
23,2,8
24,2,4
25,2,8
26,2,4
27,2,4
28,2,8
29,2,8
30,2,4
31,2,4
32,2,4
33,2,8
34,2,8
35,2,4
36,2,4
37,2,8
38,2,8
39,2,8
40,2,8
1,3,4
2,3,4
3,3,4
4,3,8
5,3,4
6,3,8
7,3,4
8,3,4
9,3,4
10,3,4
11,3,4
12,3,4
13,3,8
14,3,4
15,3,8
16,3,8
17,3,4
18,3,8
19,3,8
20,3,8
21,3,8
22,3,8
23,3,8
24,3,8
25,3,4
26,3,8
27,3,8
28,3,4
29,3,4
30,3,4
31,3,8
32,3,4
33,3,8
34,3,4
35,3,8
36,3,4
37,3,8
38,3,4
39,3,8
40,3,8
