schid,clsid,stuid,sex,age,score_read,score_math
1,1,1,1,14,654.9982410206653,526.7975735574751
2,1,1,1,13,593.1674328223133,503.5090371830844
3,1,1,2,12,473.3926297389226,608.2129969791253
4,1,1,2,12,496.0962615087829,436.5639657192922
5,1,1,1,8,728.7242913268306,616.2815374047626
6,1,1,1,11,594.475572951142,634.1859615694643
7,1,1,2,12,505.3816110218353,604.2116063864873
8,1,1,2,13,657.7388716453942,539.2154642738041
9,1,1,2,14,518.9516968116548,572.8468935213816
10,1,1,2,13,589.1159090485266,598.6492418516591
11,1,1,1,14,592.1321777882893,489.6595763112136
12,1,1,2,12,502.5505722198203,396.2853770629811
13,1,1,1,13,669.8638056983953,479.9973859782867
14,1,1,1,13,519.6302570694349,676.689091710801
15,1,1,1,14,491.4361914093395,607.005409777224
16,1,1,2,12,385.3228993414508,416.5360235013742
17,1,1,2,15,496.5108048206848,569.1293381680522
18,1,1,1,11,515.0496898103554,731.2125748845194
19,1,1,2,10,613.9618660236088,550.5963246264257
20,1,1,2,12,583.7065151235471,607.8852285623356
21,1,1,1,15,362.9660962462024,529.1908687560493
22,1,1,1,11,306.2881865812045,652.4987397424619
23,1,1,1,10,373.7369077936543,547.6899286604628
24,1,1,1,15,425.6702814656722,600.443680374344
25,1,1,2,10,469.1219589254532,436.5886444875111
26,1,1,2,8,472.1811422100456,535.5005359686101
27,1,1,1,14,597.8764811850598,450.9987085976558
28,1,1,1,10,514.1547838054308,674.1266939304162
29,1,1,2,8,419.1752509218796,743.9354054944106
30,1,1,2,10,542.9496496384609,381.2958217759313
31,1,1,2,15,463.1416219976302,483.1204202871818
32,1,1,2,11,464.6311396613544,594.1479229374692
33,1,1,2,12,296.2898752416136,470.0787371108813
34,1,1,1,14,548.2922477512635,730.3003510535292
35,1,1,1,12,496.6545577366759,330.5675880370924
36,1,1,2,13,661.3437589963079,546.4383973461307
37,1,1,1,14,517.1748634410321,562.0025990725414
38,1,1,1,13,380.0284069538407,254.67674146844
39,1,1,2,13,497.8736325754096,517.5254274373248
40,1,1,2,14,632.2061537627656,487.8771698825614
1,2,1,1,14,629.3198360530763,354.9495907748517
2,2,1,1,9,317.6660998789383,439.1955684132514
3,2,1,2,15,260.9290029746289,358.4434456924963
4,2,1,2,10,501.3463064854022,393.036844771015
5,2,1,2,15,564.3411231537867,702.4466955979899
6,2,1,2,8,564.0863191119238,483.0438860863205
7,2,1,1,15,488.4050899362983,522.8818447175667
8,2,1,2,15,588.4105587947671,761.5833679853785
9,2,1,2,10,436.2729572627294,567.0831677372241
10,2,1,2,10,445.8626258184681,257.3285689327554
11,2,1,2,12,468.073176241696,523.0976410023436
12,2,1,2,12,497.481345808916,469.2428936113743
13,2,1,1,9,488.6823024470166,526.9676595874497
14,2,1,2,12,609.2863140730576,626.1071549023457
15,2,1,1,13,533.7225853834366,284.9650311864904
16,2,1,2,13,617.8841437022004,545.897851672351
17,2,1,2,14,445.9541507582134,554.5344864306495
