schid,clsid,tchid,subject,experience
1,1,1,2,26
2,1,1,2,20
3,1,1,3,3
4,1,1,2,16
5,1,1,3,17
6,1,1,1,4
7,1,1,1,2
8,1,1,1,5
9,1,1,1,5
10,1,1,2,26
11,1,1,1,10
12,1,1,3,7
13,1,1,1,4
14,1,1,3,21
15,1,1,1,23
16,1,1,1,28
17,1,1,3,3
18,1,1,1,21
19,1,1,3,19
20,1,1,3,26
21,1,1,2,21
22,1,1,1,1
23,1,1,1,1
24,1,1,2,24
25,1,1,3,19
26,1,1,1,9
27,1,1,3,12
28,1,1,1,27
29,1,1,2,11
30,1,1,3,24
31,1,1,2,10
32,1,1,1,27
33,1,1,1,2
34,1,1,2,4
35,1,1,1,16
36,1,1,2,24
37,1,1,1,28
38,1,1,1,20
39,1,1,3,5
40,1,1,1,0
1,2,1,3,5
2,2,1,3,21
3,2,1,1,6
4,2,1,1,0
5,2,1,2,19
6,2,1,1,8
7,2,1,2,15
8,2,1,2,1
9,2,1,2,29
10,2,1,1,24
11,2,1,3,2
12,2,1,2,18
13,2,1,1,20
14,2,1,2,0
15,2,1,3,25
16,2,1,1,29
17,2,1,2,0
18,2,1,1,0
19,2,1,3,12
20,2,1,2,1
21,2,1,2,2
22,2,1,2,10
23,2,1,2,28
24,2,1,2,1
25,2,1,1,18
26,2,1,1,10
27,2,1,1,18
28,2,1,2,24
29,2,1,1,14
30,2,1,2,26
31,2,1,3,22
32,2,1,3,18
33,2,1,3,25
34,2,1,2,21
35,2,1,1,29
36,2,1,2,0
37,2,1,2,8
38,2,1,3,18
39,2,1,3,21
40,2,1,2,10
1,3,1,1,4
2,3,1,3,1
3,3,1,1,2
4,3,1,1,11
5,3,1,2,5
6,3,1,3,24
7,3,1,3,22
8,3,1,2,19
9,3,1,2,29
10,3,1,2,5
11,3,1,1,9
12,3,1,3,13
13,3,1,2,11
14,3,1,3,4
15,3,1,3,16
16,3,1,3,20
17,3,1,1,26
18,3,1,1,23
19,3,1,1,8
20,3,1,2,11
21,3,1,1,0
22,3,1,2,17
23,3,1,2,27
24,3,1,2,26
25,3,1,3,9
26,3,1,3,21
27,3,1,2,7
28,3,1,1,10
29,3,1,3,4
30,3,1,1,0
31,3,1,3,24
32,3,1,2,14
33,3,1,2,25
34,3,1,2,23
35,3,1,1,28
36,3,1,2,7
37,3,1,3,5
38,3,1,1,1
39,3,1,2,6
40,3,1,2,19
1,1,2,3,6
2,1,2,3,23
3,1,2,1,12
4,1,2,1,6
5,1,2,3,20
6,1,2,2,17
7,1,2,1,24
8,1,2,2,10
9,1,2,2,4
10,1,2,2,23
11,1,2,3,14
12,1,2,1,9
13,1,2,2,12
14,1,2,3,7
15,1,2,2,17
16,1,2,2,28
17,1,2,2,18
18,1,2,2,5
19,1,2,3,13
20,1,2,1,11
21,1,2,1,5
22,1,2,3,7
23,1,2,3,18
24,1,2,2,9
25,1,2,3,29
26,1,2,1,8
27,1,2,1,14
28,1,2,2,14
29,1,2,3,29
30,1,2,1,6
31,1,2,1,22
32,1,2,3,1
33,1,2,1,7
34,1,2,2,17
35,1,2,1,26
36,1,2,1,26
37,1,2,3,20
38,1,2,3,5
39,1,2,1,0
40,1,2,3,12
1,2,2,1,24
2,2,2,3,5
3,2,2,1,21
4,2,2,2,7
5,2,2,3,27
6,2,2,2,6
7,2,2,3,5
8,2,2,1,16
9,2,2,1,22
10,2,2,1,25
11,2,2,3,2
12,2,2,3,0
13,2,2,2,16
14,2,2,3,13
15,2,2,1,13
16,2,2,1,11
17,2,2,3,12
18,2,2,1,9
19,2,2,1,7
20,2,2,1,3
21,2,2,1,13
22,2,2,3,15
23,2,2,3,10
24,2,2,1,29
25,2,2,1,26
26,2,2,1,4
27,2,2,2,21
28,2,2,1,19
29,2,2,3,20
30,2,2,1,22
31,2,2,3,13
32,2,2,3,3
33,2,2,2,1
34,2,2,1,21
35,2,2,2,17
36,2,2,2,9
37,2,2,3,1
38,2,2,2,5
39,2,2,3,15
40,2,2,3,29
1,3,2,3,19
2,3,2,2,3
3,3,2,3,10
4,3,2,2,15
5,3,2,3,28
6,3,2,3,22
7,3,2,1,15
8,3,2,2,16
9,3,2,3,1
10,3,2,2,15
11,3,2,1,20
12,3,2,1,21
13,3,2,2,21
14,3,2,1,1
15,3,2,2,21
16,3,2,1,12
17,3,2,3,16
18,3,2,1,8
19,3,2,1,6
20,3,2,1,8
21,3,2,1,12
22,3,2,3,27
23,3,2,1,3
24,3,2,2,3
25,3,2,2,19
26,3,2,2,10
27,3,2,1,23
28,3,2,3,21
29,3,2,3,4
30,3,2,1,13
31,3,2,1,26
32,3,2,2,18
33,3,2,3,24
34,3,2,3,1
35,3,2,3,23
36,3,2,2,18
37,3,2,2,5
38,3,2,2,6
39,3,2,3,3
40,3,2,3,26
