hhid,pid,age,sex,relation,educ_years
1,1,37,2,3,10
2,1,54,1,3,8
3,1,31,1,1,16
4,1,41,1,5,3
5,1,23,1,3,6
6,1,39,1,2,11
7,1,0,1,3,11
8,1,0,1,4,16
9,1,50,1,3,9
10,1,29,2,3,0
11,1,18,1,1,9
12,1,24,1,3,0
13,1,13,1,5,7
14,1,28,2,2,15
15,1,16,2,2,14
16,1,31,2,2,8
17,1,15,1,1,3
18,1,33,2,1,5
19,1,17,1,5,0
20,1,23,2,2,9
21,1,50,1,4,10
22,1,35,1,5,6
23,1,60,2,4,0
24,1,0,1,4,9
25,1,24,2,3,7
26,1,33,2,4,11
27,1,14,1,5,13
28,1,28,1,4,5
29,1,59,1,5,14
30,1,46,2,4,6
31,1,18,2,1,6
32,1,59,2,4,15
33,1,23,1,1,6
34,1,81,2,3,10
35,1,42,1,5,3
36,1,1,2,5,6
37,1,48,2,5,14
38,1,2,2,4,11
39,1,24,1,5,3
40,1,5,2,1,14
41,1,11,1,1,11
42,1,30,1,4,15
43,1,30,2,5,9
44,1,48,1,1,3
45,1,14,2,2,8
46,1,56,2,1,9
47,1,46,2,1,2
48,1,28,1,4,5
49,1,47,1,3,9
50,1,45,2,5,7
51,1,27,1,1,10
52,1,17,2,2,9
53,1,13,1,1,6
54,1,32,1,1,12
55,1,26,1,5,0
56,1,2,1,5,10
57,1,23,2,3,9
58,1,47,2,2,4
59,1,0,1,2,3
60,1,10,2,2,14
61,1,48,2,4,11
62,1,32,1,5,11
63,1,27,2,2,10
64,1,13,1,4,3
65,1,12,1,3,10
66,1,17,2,4,6
67,1,34,2,1,3
68,1,57,1,3,1
69,1,42,1,2,2
70,1,34,1,2,8
71,1,18,1,4,7
72,1,4,1,4,8
73,1,26,2,4,4
74,1,26,2,1,4
75,1,5,1,3,6
76,1,13,1,4,5
77,1,4,2,3,6
78,1,25,2,1,5
79,1,42,2,2,10
80,1,50,1,1,8
81,1,30,2,4,5
82,1,0,2,5,7
83,1,14,2,2,7
84,1,15,2,4,8
85,1,45,2,5,3
86,1,8,1,3,5
87,1,29,1,1,3
88,1,40,1,2,10
89,1,43,2,3,4
90,1,59,1,4,5
91,1,37,2,3,17
92,1,45,2,3,6
93,1,39,1,3,7
94,1,0,1,3,11
95,1,50,2,2,13
96,1,20,2,5,5
97,1,26,2,4,5
98,1,49,1,2,2
99,1,29,1,3,17
100,1,50,1,5,12
101,1,14,1,4,7
102,1,9,2,1,11
103,1,7,2,1,10
104,1,50,2,5,5
105,1,10,2,3,10
106,1,60,1,5,6
107,1,65,1,1,6
108,1,1,2,1,12
109,1,36,2,1,8
110,1,23,1,2,9
111,1,34,2,1,9
112,1,36,1,4,11
113,1,42,1,4,7
114,1,40,2,1,13
115,1,34,1,3,3
116,1,24,1,2,9
117,1,39,2,2,11
118,1,44,1,2,1
119,1,0,2,1,6
120,1,32,2,4,16
121,1,37,2,2,8
122,1,23,2,3,5
123,1,0,2,1,12
124,1,29,2,3,6
125,1,42,1,4,11
126,1,0,1,4,7
127,1,41,2,4,13
128,1,14,2,2,5
129,1,15,1,5,7
130,1,32,1,5,4
131,1,20,2,3,3
132,1,1,2,1,6
133,1,38,1,5,9
134,1,9,1,3,0
135,1,44,2,2,4
136,1,25,2,1,14
137,1,17,1,3,10
138,1,18,2,3,5
139,1,6,2,3,6
140,1,23,2,5,10
141,1,0,2,4,16
142,1,6,1,5,10
143,1,26,2,4,8
144,1,0,2,4,3
145,1,20,1,3,0
146,1,20,2,5,11
147,1,52,1,2,4
148,1,61,2,2,10
149,1,20,1,5,5
150,1,0,2,2,11
1,2,62,1,2,14
2,2,28,1,1,13
3,2,35,1,4,5
4,2,9,2,3,0
5,2,8,1,5,9
6,2,35,1,3,5
7,2,44,1,1,3
8,2,42,2,2,7
9,2,0,2,4,2
10,2,26,1,5,10
11,2,11,1,4,11
12,2,27,1,3,4
13,2,27,2,4,8
14,2,19,1,5,11
15,2,18,1,5,7
16,2,25,2,1,5
17,2,37,2,1,14
18,2,21,2,5,7
19,2,16,2,3,9
20,2,28,2,2,8
21,2,34,1,5,13
22,2,20,2,3,11
