hhid,region,urban,hh_size,hh_weight
1,1,1,4,3.191844279210203
2,2,1,4,3.616574788659733
3,3,1,7,2.850610034783715
4,4,1,8,2.952177037316937
5,1,0,7,1.798067697661248
6,2,0,6,1.428910856911104
7,3,0,6,3.564453758966539
8,4,1,5,2.902716201177999
9,1,1,3,1.200019089097722
10,2,0,6,1.3422851971691
11,3,1,1,1.497264511595608
12,4,1,5,3.096392566843651
13,1,0,3,1.524268688024915
14,2,1,6,3.43987948109779
15,3,0,2,3.922571608621662
16,4,1,8,2.133712876357502
17,1,1,1,1.136668247032605
18,2,0,4,2.405017738114504
19,3,1,8,3.991819333041083
20,4,1,5,2.0617148944067
21,1,1,1,2.162413192704901
22,2,1,5,3.252604912628863
23,3,1,3,3.958818851895294
24,4,0,7,3.69374950122264
25,1,0,8,3.853289752495924
26,2,1,4,2.757059069400763
27,3,0,3,2.047629158486326
28,4,0,8,3.072609627647935
29,1,1,8,2.282173226083564
30,2,0,5,2.608384003759497
31,3,0,5,3.97437395803564
32,4,1,1,3.040736679702621
33,1,1,6,2.450947222986072
34,2,1,3,3.023339846092577
35,3,1,8,2.65719360472191
36,4,0,3,3.462661539270119
37,1,0,1,3.356457459305584
38,2,0,8,1.948659126352921
39,3,1,1,1.381102523724577
40,4,1,5,1.904253520280961
41,1,1,2,3.71998027164136
42,2,0,6,3.41418799456728
43,3,1,4,3.190914433786984
44,4,1,2,2.981503889105239
45,1,1,3,1.524035837539309
46,2,1,4,2.638568029909389
47,3,0,1,2.275848901164284
48,4,1,8,1.701316518736534
49,1,1,3,3.78232600062432
50,2,0,3,3.556302163906782
51,3,0,4,1.336675245196159
52,4,1,5,2.925153398436435
53,1,1,3,3.007799162720619
54,2,0,4,2.348516301472877
55,3,0,2,2.523046067260039
56,4,0,4,1.882607457169235
57,1,1,3,1.332309962935327
58,2,1,3,3.111594482908305
59,3,1,7,2.641914559227822
60,4,0,3,1.796677274896185
61,1,1,7,1.457555938524001
62,2,0,1,1.666011707380146
63,3,1,2,3.981775536603624
64,4,1,5,1.343704731579352
65,1,0,6,3.870664809727252
66,2,0,4,2.926528497240446
67,3,1,5,2.866931483864438
68,4,1,3,1.774110000006919
69,1,1,8,3.680713666301494
70,2,1,3,3.11142699705684
71,3,1,4,1.229567663165848
72,4,1,3,3.964407280667008
73,1,1,7,2.872590936475889
74,2,1,5,1.357445101472101
75,3,0,8,2.974588791404553
76,4,1,6,3.099832558312845
77,1,1,5,2.909868262787385
78,2,0,1,3.861199459083925
79,3,1,4,1.957763444844343
80,4,0,8,3.196716571246015
81,1,1,6,1.53833059093378
82,2,1,1,1.700289035891028
83,3,0,7,2.185662542899262
84,4,1,8,1.011460729686547
85,1,0,8,2.133426289497247
86,2,1,6,1.132349891343825
87,3,1,6,1.545553683151899
88,4,0,4,2.147892219922074
89,1,0,1,2.92790336142431
90,2,1,6,2.937678271122632
