hhid,pid,age,sex,relation,educ_years
1,1,40,2,1,4
2,1,33,2,4,11
3,1,21,2,4,12
4,1,22,1,1,3
5,1,43,1,5,1
6,1,65,2,2,9
7,1,17,2,5,8
8,1,28,2,1,5
9,1,28,1,2,4
10,1,20,2,2,5
11,1,33,1,1,13
12,1,74,2,2,3
13,1,22,2,1,7
14,1,41,2,4,13
15,1,60,1,4,5
16,1,29,2,1,2
17,1,11,2,3,12
18,1,42,1,1,6
19,1,28,2,3,10
20,1,31,1,4,0
21,1,35,2,4,5
22,1,44,2,3,10
23,1,57,1,4,9
24,1,41,1,1,0
25,1,4,1,4,3
26,1,52,1,1,5
27,1,79,2,3,1
28,1,44,2,1,12
29,1,37,1,5,11
30,1,22,1,2,11
31,1,0,2,2,5
32,1,26,1,5,8
33,1,33,2,1,4
34,1,34,1,5,0
35,1,31,2,2,9
36,1,51,1,5,3
37,1,17,1,4,10
38,1,28,2,1,3
39,1,20,2,2,9
40,1,13,2,4,6
41,1,15,2,4,13
42,1,22,2,2,7
43,1,21,2,3,7
44,1,19,2,2,14
45,1,31,2,2,10
46,1,42,1,5,3
47,1,55,1,1,10
48,1,28,1,5,4
49,1,0,2,3,8
50,1,4,2,3,9
51,1,50,1,2,8
52,1,2,1,5,2
53,1,6,1,3,7
54,1,37,2,3,12
55,1,11,2,2,3
56,1,3,1,2,14
57,1,28,2,2,9
58,1,42,2,1,8
59,1,42,2,2,6
60,1,23,2,1,11
61,1,35,1,5,11
62,1,24,1,5,8
63,1,6,2,4,10
64,1,27,2,2,12
65,1,40,1,1,4
66,1,30,1,5,2
67,1,44,2,1,6
68,1,34,1,3,5
69,1,15,1,2,6
70,1,19,2,1,8
71,1,1,2,3,10
72,1,0,2,3,11
73,1,22,1,2,0
74,1,37,1,3,20
75,1,15,2,5,15
76,1,40,1,2,12
77,1,36,2,5,10
78,1,57,2,1,7
79,1,45,1,5,6
80,1,38,1,4,3
81,1,26,2,4,7
82,1,19,2,3,8
83,1,18,1,3,9
84,1,29,2,3,10
85,1,17,2,4,5
86,1,43,2,3,12
87,1,21,1,3,4
88,1,38,2,1,6
89,1,42,1,5,3
90,1,0,2,3,0
1,2,23,2,3,5
2,2,33,2,3,4
3,2,28,1,1,2
4,2,41,1,4,5
5,2,29,1,4,5
6,2,17,2,2,4
7,2,39,1,2,8
8,2,25,2,2,11
9,2,13,1,3,4
10,2,52,1,4,10
11,2,24,2,1,3
12,2,29,1,1,6
13,2,41,2,1,11
14,2,31,2,4,13
15,2,28,2,3,5
16,2,8,1,4,11
17,2,56,1,5,10
18,2,29,2,5,6
19,2,30,1,2,11
20,2,17,1,3,3
21,2,50,2,4,3
22,2,33,1,3,16
23,2,56,1,4,11
24,2,37,2,4,6
25,2,44,1,3,7
26,2,7,2,4,7
27,2,33,1,4,4
28,2,46,1,1,3
29,2,35,2,5,7
30,2,9,2,4,5
31,2,47,1,1,16
32,2,30,1,1,4
33,2,14,1,1,1
34,2,32,1,1,13
35,2,33,1,1,5
36,2,42,2,3,14
37,2,49,2,1,6
38,2,0,2,5,6
39,2,30,2,2,6
40,2,16,2,1,11
41,2,19,2,4,12
42,2,22,2,4,7
43,2,15,2,4,14
44,2,56,2,2,7
45,2,58,2,1,6
46,2,42,2,3,12
47,2,5,2,4,20
48,2,16,1,2,4
49,2,26,2,5,10
50,2,33,1,2,1
51,2,37,1,1,7
52,2,3,1,5,3
53,2,44,2,1,16
54,2,8,2,4,7
55,2,0,1,2,7
56,2,2,1,5,7
57,2,62,1,1,1
58,2,19,1,4,15
59,2,38,1,2,4
60,2,47,2,4,5
61,2,0,1,3,11
62,2,2,2,3,12
63,2,36,1,5,4
64,2,48,2,3,9
65,2,12,1,2,10
66,2,32,1,2,6
67,2,14,2,5,11
68,2,6,1,3,12
69,2,26,2,4,11
70,2,75,1,3,4
71,2,38,1,4,11
72,2,11,1,1,6
73,2,25,1,3,10
74,2,13,2,4,6
75,2,21,1,3,4
76,2,38,2,5,4
77,2,26,2,3,15
78,2,6,2,3,13
79,2,30,1,1,12
80,2,42,1,5,13
81,2,36,1,1,2
82,2,17,1,4,13
83,2,22,2,1,3
84,2,46,1,1,5
85,2,21,2,2,15
86,2,21,1,3,9
87,2,32,1,1,6
88,2,52,1,2,6
89,2,34,2,1,5
90,2,0,1,5,7
1,3,54,1,2,2
2,3,40,1,3,4
3,3,4,2,4,2
4,3,0,2,5,10
5,3,17,1,3,7
6,3,41,1,5,17
7,3,40,1,3,1
8,3,0,1,3,10
9,3,15,2,1,10
10,3,31,2,2,3
11,3,49,2,5,18
12,3,21,2,2,10
13,3,16,1,4,5
14,3,47,1,5,14
15,3,1,1,3,6
16,3,0,1,2,8
17,3,8,2,1,7
18,3,40,1,4,4
19,3,0,1,4,5
20,3,17,2,2,8
21,3,17,1,3,9
22,3,19,2,3,13
23,3,29,1,3,3
24,3,2,2,1,9
25,3,76,2,3,12
26,3,15,2,5,5
27,3,56,1,5,12
28,3,55,1,5,4
29,3,33,2,1,5
30,3,21,2,4,10
31,3,20,2,4,6
32,3,10,2,2,3
33,3,49,2,4,7
34,3,18,1,5,3
35,3,36,1,3,5
36,3,18,2,5,10
37,3,41,1,1,7
38,3,45,2,4,3
39,3,33,1,5,8
40,3,35,1,2,6
41,3,40,2,2,6
42,3,27,1,4,6
43,3,32,2,1,5
44,3,16,2,1,11
45,3,24,1,3,10
46,3,13,2,3,2
47,3,42,1,1,10
48,3,24,1,2,8
49,3,34,1,1,8
50,3,12,2,1,7
51,3,4,2,3,9
52,3,18,1,3,12
53,3,24,1,2,5
54,3,27,2,1,5
55,3,0,1,5,8
56,3,43,2,2,0
57,3,51,2,5,9
58,3,7,1,2,14
59,3,0,1,5,5
60,3,34,2,5,7
61,3,26,1,3,11
62,3,24,1,1,20
63,3,53,1,2,11
64,3,29,1,1,13
65,3,34,2,4,3
66,3,29,1,4,6
67,3,18,1,1,8
